standard	term	bucket	confidence	note
父親	老父亲	colloquial	med	老+標準形,通行
父親	阿爸	min-yue-wu	high	南方廣泛
父親	阿父	literary	med	文讀/書面
父親	阿爹	wu	med	吳語區
父親	老窦	yue	high	粵「老豆」
父親	爹地	yue	high	粵/港,daddy 音譯
父親	依爹	min	high	閩東(福州)「依」前綴
父親	老爹	north	med	北方口語
父親	老汉	southwest	high	西南官話
父親	老汉儿	southwest	high	川渝兒化
父親	老爷子	north	high	北方(尤京津)
父親	老子	colloquial	low	多為自稱戲謔,易誤解;建議排除
父親	牙老子	xiang	low	疑湘/贛,待查
父親	牙老倌	xiang	low	同上
父親	爸	colloquial	high	單字口語
父親	父	literary	high	單字書面
父親	爸比	exclude	high	網絡/幼兒語,非通行稱謂
父親	爹爹	colloquial	med	舊式/兒語通行
父親	爹啲	yue	low	粵語書寫變體,待查
父親	一世祖	exclude	high	族譜世代術語,非稱謂
母親	老母亲	colloquial	med	
母親	阿妈	min-yue-wu	high	南方廣泛
母親	阿母	min	med	閩
母親	阿娘	wu	med	吳/舊式
母親	老母	south	med	閩粵,語感較粗
母親	妈咪	yue	high	粵/港,mummy 音譯
母親	依妈	min	high	閩東
母親	老娘	colloquial	low	多為自稱,易誤解;建議排除
母親	老乸	yue	high	粵,語感粗
母親	老妈子	exclude	med	舊指女僕,歧義
母親	妈子	exclude	med	同上
母親	娘老子	southwest	low	待查
母親	妈	colloquial	high	
母親	母	literary	high	
母親	阿毑	xiang	high	湘語
母親	姆嬷	wu	med	吳
母親	姆妈	wu	high	吳(上海)
母親	娘亲	literary	med	書面/戲曲
哥哥	哥	colloquial	high	
哥哥	胞兄	literary	high	同胞兄,書面
哥哥	亲哥	colloquial	high	
哥哥	兄亲	exclude	high	mumuy 結構標籤,非稱謂
哥哥	老哥	colloquial	high	
哥哥	依哥	min	high	閩東
哥哥	阿哥	yue	high	粵/南方
哥哥	兄台	literary	high	古語敬稱
哥哥	大佬	yue	high	粵
哥哥	家兄	literary	high	對外謙稱
哥哥	兄长	literary	high	
哥哥	几哥	exclude	high	「幾」為排行填空模板,非稱謂
弟弟	弟	colloquial	high	
弟弟	胞弟	literary	high	
弟弟	亲弟	colloquial	high	
弟弟	弟亲	exclude	high	結構標籤
弟弟	老弟	colloquial	high	
弟弟	依弟	min	high	
弟弟	阿弟	yue-wu	high	
弟弟	弟子	exclude	high	主義為門徒,歧義
弟弟	细佬	yue	high	粵
弟弟	小弟	colloquial	high	
弟弟	几弟	exclude	high	排行模板
姐姐	姐	colloquial	high	
姐姐	胞姐	literary	high	
姐姐	亲姐	colloquial	high	
姐姐	姊亲	exclude	high	結構標籤
姐姐	老姐	colloquial	high	
姐姐	依姐	min	high	
姐姐	阿姐	yue-wu	high	
姐姐	姊台	literary	med	古語敬稱
姐姐	家姐	yue	high	粵(亦作謙稱)
姐姐	姊仔	min	med	閩台
姐姐	几姐	exclude	high	排行模板
妹妹	妹	colloquial	high	
妹妹	胞妹	literary	high	
妹妹	亲妹	colloquial	high	
妹妹	妹亲	exclude	high	結構標籤
妹妹	老妹	colloquial	med	
妹妹	依妹	min	high	
妹妹	阿妹	yue-hakka	high	
妹妹	妹子	southwest-xiang	high	
妹妹	小妹	colloquial	high	
妹妹	妹儿	southwest	high	川渝兒化
妹妹	几妹	exclude	high	排行模板
兒子	男儿	literary	med	偏詩文
兒子	息男	literary	high	書面舊語
兒子	闺男	north	low	待查
兒子	囝囝	yue	high	粵疊稱
兒子	囝男	min	med	閩
兒子	囝儿	min	med	
兒子	小子	colloquial	med	語感隨便
兒子	娃子	northwest-southwest	high	
兒子	男亲	exclude	high	結構標籤
兒子	伢子	xiang	high	湘
兒子	儿	literary	high	單字
兒子	仔	yue	high	粵
兒子	囝	min	high	閩
兒子	子	literary	high	
兒子	阿仔	yue	high	
兒子	仔仔	yue	high	
兒子	后生	hakka-wu	med	客/吳,泛指年輕男子
兒子	公子	exclude	high	敬稱他人之子,非自稱
兒子	少爷	exclude	high	舊時僕從稱主家子
兒子	一世孙	exclude	high	族譜術語
女兒	千金	exclude	high	敬稱他人之女
女兒	小姐	exclude	high	泛稱,非親屬
女兒	掌上明珠	exclude	high	比喻語
女兒	息女	literary	high	書面舊語
女兒	闺女	north	high	北方
女兒	囡囡	wu	high	吳疊稱
女兒	囡女	wu	med	
女兒	囡儿	wu	med	
女兒	乖囡	wu	high	
女兒	囡嗯	wu	low	寫法存疑,待查
女兒	丫头	north	high	北方暱稱
女兒	姑娘	exclude	high	泛稱年輕女性
女兒	妮子	north	high	北方(魯豫)
女兒	女亲	exclude	high	結構標籤
女兒	女	literary	high	
女兒	阿女	yue	med	
女兒	女女	southwest	low	待查
配偶	老公	colloquial-f	high	女方稱夫;通用口語
配偶	丈夫	standard-f	high	女方稱夫;標準
配偶	先生	colloquial-f	high	女方稱夫;較正式
配偶	夫	literary-f	high	
配偶	男人	exclude	high	泛稱,歧義
配偶	新郎	exclude	high	限婚禮場合
配偶	爱爷	exclude	low	疑罕用,待查
配偶	夫亲	exclude	high	結構標籤
配偶	夫君	literary-f	high	古語
配偶	官人	literary-f	high	古語
配偶	汉子	southwest-north-f	med	方言稱夫,女方專用
配偶	老头子	colloquial-f	med	老年夫妻互稱
配偶	郎君	literary-f	high	
配偶	相公	literary-f	high	
配偶	夫婿	literary-f	high	
